analysis,model,train_sheets,test_sheet,accuracy
single_sheet_train,Random Forest,ALL,ALL2,0.4083333333333333
single_sheet_train,Ridge Classifier,ALL,ALL2,0.26666666666666666
single_sheet_train,Logistic Regression,ALL,ALL2,0.35833333333333334
single_sheet_train,Random Forest,ALL,ALL3,0.4166666666666667
single_sheet_train,Ridge Classifier,ALL,ALL3,0.24166666666666667
single_sheet_train,Logistic Regression,ALL,ALL3,0.375
single_sheet_train,Random Forest,ALL2,ALL,0.475
single_sheet_train,Ridge Classifier,ALL2,ALL,0.3
single_sheet_train,Logistic Regression,ALL2,ALL,0.325
single_sheet_train,Random Forest,ALL2,ALL3,0.6166666666666667
single_sheet_train,Ridge Classifier,ALL2,ALL3,0.325
single_sheet_train,Logistic Regression,ALL2,ALL3,0.5333333333333333
single_sheet_train,Random Forest,ALL3,ALL,0.49166666666666664
single_sheet_train,Ridge Classifier,ALL3,ALL,0.26666666666666666
single_sheet_train,Logistic Regression,ALL3,ALL,0.38333333333333336
single_sheet_train,Random Forest,ALL3,ALL2,0.65
single_sheet_train,Ridge Classifier,ALL3,ALL2,0.375
single_sheet_train,Logistic Regression,ALL3,ALL2,0.5583333333333333
two_sheet_train,Random Forest,ALL + ALL2,ALL3,0.575
two_sheet_train,Ridge Classifier,ALL + ALL2,ALL3,0.325
two_sheet_train,Logistic Regression,ALL + ALL2,ALL3,0.4083333333333333
two_sheet_train,Random Forest,ALL + ALL3,ALL2,0.6166666666666667
two_sheet_train,Ridge Classifier,ALL + ALL3,ALL2,0.35833333333333334
two_sheet_train,Logistic Regression,ALL + ALL3,ALL2,0.45
two_sheet_train,Random Forest,ALL2 + ALL3,ALL,0.49166666666666664
two_sheet_train,Ridge Classifier,ALL2 + ALL3,ALL,0.275
two_sheet_train,Logistic Regression,ALL2 + ALL3,ALL,0.31666666666666665
